,budget,genres,id,keywords,original_language,release_date,revenue,runtime,title,Male_lead,Female_lead,Director,screenplay,writer,Music_director
37,200000000,"['Fantasy', 'Adventure', 'Family']",68728,circus.witch.magic.hope.illusion.lost.magic trick.wizard.3d,en,2013-03-07,491868548,130.0,Oz: The Great and Powerful,James Franco,Mila Kunis,Sam Raimi,Mitchell Kapner,,
38,200000000,"['Action', 'Adventure', 'Fantasy']",102382,obsession.marvel comic.sequel.based on comic book.electrocution.medical experiment.electricity.super powers,en,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,Andrew Garfield,Emma Stone,Marc Webb,Alex Kurtzman,,Hans Zimmer
39,170000000,"['Adventure', 'Action', 'Science Fiction']",20526,artificial intelligence.secret identity.computer program.dystopia.computer.deception.duel.motorcycle.neon light.autocracy,en,2010-12-10,400062763,125.0,TRON: Legacy,Garrett Hedlund,Olivia Wilde,Joseph Kosinski,Steven Lisberger,,
40,200000000,"['Animation', 'Family', 'Adventure', 'Comedy']",49013,car race.sequel.comedy.anthropomorphism.best friend.duringcreditsstinger,en,2011-06-11,559852396,106.0,Cars 2,Owen Wilson,Emily Mortimer,John Lasseter,Ben Queen,,Michael Giacchino
41,200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",44912,dc comics.transformation.superhero.alien.alien infection.magical object.protector.super powers.origin.3d,en,2011-06-16,219851172,114.0,Green Lantern,Ryan Reynolds,Blake Lively,Martin Campbell,Michael Goldenberg,,James Newton Howard
42,200000000,"['Animation', 'Family', 'Comedy']",10193,hostage.college.toy.barbie.animation.escape.day care.teddy bear.duringcreditsstinger.toy comes to life.personification.inanimate objects coming to life.toy story,en,2010-06-16,1066969703,103.0,Toy Story 3,Tom Hanks,Joan Cusack,Lee Unkrich,Michael Arndt,,
43,200000000,"['Action', 'Science Fiction', 'Thriller']",534,saving the world.artificial intelligence.prophecy.san francisco.cyborg.killer robot.gas station.post-apocalyptic.dystopia.army.firearm.wartime.los angeles,en,2009-05-20,371353001,115.0,Terminator Salvation,Christian Bale,Moon Bloodgood,McG,,John D. Brancato,Danny Elfman
44,190000000,['Action'],168259,car race.speed.revenge.suspense.car.race.muscle car,en,2015-04-01,1506249360,137.0,Furious 7,Vin Diesel,Michelle Rodriguez,James Wan,,Chris Morgan,Brian Tyler
45,200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",72190,dystopia.apocalypse.zombie.nuclear weapons.multiple perspectives.zombie apocalypse,en,2013-06-20,531865000,116.0,World War Z,Brad Pitt,Mireille Enos,Marc Forster,Matthew Michael Carnahan,,Marco Beltrami
46,250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,1970s.mutant.time travel.marvel comic.based on comic book.superhuman.storm.beast.aftercreditsstinger.changing the past or future,en,2014-05-15,747862775,131.0,X-Men: Days of Future Past,Hugh Jackman,Jennifer Lawrence,Bryan Singer,Simon Kinberg,,John Ottman
47,190000000,"['Action', 'Adventure', 'Science Fiction']",54138,spacecraft.friendship.sequel.futuristic.space.alien.imax.space opera.terrorist bombing.3d,en,2013-05-05,467365246,132.0,Star Trek Into Darkness,Chris Pine,Zoe Saldana,J.J. Abrams,Alex Kurtzman,,Michael Giacchino
48,195000000,"['Action', 'Family', 'Fantasy']",81005,based on fairy tale.giant,en,2013-02-27,197687603,114.0,Jack the Giant Slayer,Nicholas Hoult,Eleanor Tomlinson,Bryan Singer,Christopher McQuarrie,,John Ottman
49,105000000,"['Drama', 'Romance']",64682,based on novel.infidelity.obsession.hope.3d,en,2013-05-10,351040419,143.0,The Great Gatsby,Leonardo DiCaprio,Carey Mulligan,Baz Luhrmann,Baz Luhrmann,,Craig Armstrong
50,150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']",9543,persia.sandstorm.brother against brother.armageddon.regent.based on video game,en,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,Jake Gyllenhaal,Gemma Arterton,Mike Newell,Boaz Yakin,,Harry Gregson-Williams
51,180000000,"['Action', 'Science Fiction', 'Adventure']",68726,dystopia.giant robot.giant monster.apocalypse.imax.duringcreditsstinger.3d,en,2013-07-11,407602906,131.0,Pacific Rim,Idris Elba,Heather Doerksen,Guillermo del Toro,Travis Beacham,,Ramin Djawadi
52,195000000,"['Action', 'Science Fiction', 'Adventure']",38356,moon.spacecraft.traitor.bodyguard.alien planet.based on cartoon.transformers.giant robot.sabotage.word domination.commando.duringcreditsstinger,en,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,Shia LaBeouf,Frances McDormand,Michael Bay,Ehren Kruger,,Steve Jablonsky
53,185000000,"['Adventure', 'Action']",217,saving the world.riddle.whip.treasure.mexico city.leather jacket.machinegun.alien phenomenons.maya civilization.peru.treasure hunt.nuclear explosion.refrigerator.archaeologist.indiana jones.archeology ,en,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,Cate Blanchett,Steven Spielberg,David Koepp,,John Williams
54,175000000,"['Adventure', 'Animation', 'Family']",105864,tyrannosaurus rex.friends.alternate history.dinosaur.fear.storm.nature.human.journey,en,2015-11-14,331926147,93.0,The Good Dinosaur,Jeffrey Wright,Frances McDormand,Peter Sohn,Meg LeFauve,,Mychael Danna
55,185000000,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",62177,scotland.rebel.bravery.kingdom.archer.wish.bear.scot.rebellious daughter.turns into animal.archery.ruins.aftercreditsstinger.peace offering.woman director.courage.3d,en,2012-06-21,538983207,93.0,Brave,Kevin McKidd,Kelly Macdonald,Brenda Chapman,Irene Mecchi,,Patrick Doyle
56,185000000,"['Action', 'Adventure', 'Science Fiction']",188927,sequel.stranded.hatred.space opera,en,2016-07-07,343471816,122.0,Star Trek Beyond,Chris Pine,Zoe Saldana,Justin Lin,Simon Pegg,,
57,180000000,"['Animation', 'Family']",10681,romantic comedy,en,2008-06-22,521311860,98.0,WALL·E,Ben Burtt,Kathy Najimy,Andrew Stanton,Andrew Stanton,,Thomas Newman
58,140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",5174,ambassador,en,2007-08-08,258022233,91.0,Rush Hour 3,Chris Tucker,Noémie Lenoir,Brett Ratner,Jeff Nathanson,,Lalo Schifrin
59,200000000,"['Action', 'Adventure', 'Science Fiction']",14161,civilization.natural disaster.end of the world.disaster.apocalypse.destruction.volcanic eruption.mayan.ark.solar.destruction  of mankind,en,2009-10-10,769653595,158.0,2012,John Cusack,Amanda Peet,Roland Emmerich,,Harald Kloser,Harald Kloser
60,200000000,"['Animation', 'Drama']",17979,holiday.based on novel.victorian england.money.christmas eve.scrooge.christmas carol.ghost.lesson.charles dickens.christmas,en,2009-11-04,325233863,96.0,A Christmas Carol,Gary Oldman,Sammi Hanratty,Robert Zemeckis,Robert Zemeckis,,
61,176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757,jupiter.space.woman director.3d.interspecies romance,en,2015-02-04,183987723,124.0,Jupiter Ascending,Channing Tatum,Mila Kunis,Lilly Wachowski,,Lilly Wachowski,Michael Giacchino
62,180000000,"['Action', 'Adventure']",258489,africa.feral child.tarzan.jungle.animal attack,en,2016-06-29,356743061,109.0,The Legend of Tarzan,Alexander Skarsgård,Margot Robbie,David Yates,Stuart Beattie,John Collee,Rupert Gregson-Williams
63,180000000,"['Adventure', 'Family', 'Fantasy']",411,saving the world.witch.based on novel.brother sister relationship.self sacrifice.winter.cupboard.beaver.lion.fairy-tale figure.battle.narnia.fantasy world.duringcreditsstinger,en,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley,Anna Popplewell,Andrew Adamson,Andrew Adamson,,Harry Gregson-Williams
64,178000000,['Science Fiction'],246655,mutant.supernatural powers.marvel comic.superhero.based on comic book.superhuman.apocalypse.superhero team.world domination.aftercreditsstinger.1980s,en,2016-05-18,543934787,144.0,X-Men: Apocalypse,James McAvoy,Jennifer Lawrence,Bryan Singer,,Bryan Singer,John Ottman
65,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",155,dc comics.crime fighter.secret identity.scarecrow.sadism.chaos.gotham city.vigilante.joker.superhero.based on comic book.tragic hero.organized crime.criminal mastermind.district attorney.imax.super villain.super powers.batman,en,2008-07-16,1004558444,152.0,The Dark Knight,Christian Bale,Maggie Gyllenhaal,Christopher Nolan,Christopher Nolan,,Hans Zimmer
66,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",14160,age difference.central and south america.balloon.animation.floating in the air.duringcreditsstinger.exploring,en,2009-05-13,735099082,96.0,Up,Ed Asner,,Pete Docter,Bob Peterson,,
67,175000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']",15512,alien.giant robot.duringcreditsstinger,en,2009-03-19,381509870,94.0,Monsters vs Aliens,Seth Rogen,Reese Witherspoon,Conrad Vernon,Wallace Wolodarsky,,
68,140000000,"['Action', 'Science Fiction', 'Adventure']",1726,middle east.arms dealer.malibu.marvel comic.superhero.based on comic book.tony stark.iron man.aftercreditsstinger.marvel cinematic universe.counter terrorism.agent coulson,en,2008-04-30,585174222,126.0,Iron Man,Robert Downey Jr.,Gwyneth Paltrow,Jon Favreau,Art Marcum,,Ramin Djawadi
69,170000000,"['Adventure', 'Drama', 'Family']",44826,library.clock.film director.key.toy.boy.love.orphan.robot.automaton.hiding.filmmaking.leg brace.doberman.3d,en,2011-11-22,185770160,126.0,Hugo,Ben Kingsley,Chloë Grace Moretz,Martin Scorsese,John Logan,Brian Selznick,Howard Shore
70,170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",8487,steampunk.based on tv series.steam locomotive.drag,en,1999-06-29,222104681,106.0,Wild Wild West,Will Smith,Salma Hayek,Barry Sonnenfeld,Jeffrey Price,,Elmer Bernstein
71,145000000,"['Adventure', 'Action', 'Fantasy']",1735,,en,2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser,Maria Bello,Rob Cohen,Miles Millar,,
72,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",297761,dc comics.shared universe.anti hero.secret mission.villain.superhero.supervillain.dc extended universe,en,2016-08-02,745000000,123.0,Suicide Squad,Will Smith,Margot Robbie,David Ayer,,David Ayer,Steven Price
73,175000000,"['Fantasy', 'Comedy', 'Family']",2698,father son relationship.daily life.married couple.support.father.marriage.faith.baustelle.rescue.animal.nature.duringcreditsstinger.noah's ark,en,2007-06-09,173000000,96.0,Evan Almighty,Steve Carell,Lauren Graham,Tom Shadyac,Steve Oedekerk,,
74,178000000,"['Action', 'Science Fiction']",137113,deja vu.time warp.restart.dystopia.war.alien.military officer.soldier.alien invasion.exoskeleton,en,2014-05-27,370541256,113.0,Edge of Tomorrow,Tom Cruise,Emily Blunt,Doug Liman,Christopher McQuarrie,,Christophe Beck
75,175000000,"['Adventure', 'Action']",9804,ocean.tattoo.mutant.water.dystopia.doomsday,en,1995-07-28,264218220,135.0,Waterworld,Kevin Costner,Jeanne Tripplehorn,Kevin Reynolds,,,James Newton Howard
76,175000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",14869,terrorist.secret.hostage.technology.warhead.government.president.revenge.murder.attack.explosion.scientist.lasers.evil.cobra,en,2009-08-04,302469017,118.0,G.I. Joe: The Rise of Cobra,Dennis Quaid,Sienna Miller,Stephen Sommers,Stuart Beattie,,Alan Silvestri
77,175000000,"['Drama', 'Comedy', 'Animation', 'Family']",150540,dream.cartoon.imaginary friend.animation.family.moving.kids.unicorn.duringcreditsstinger.3d.emotions,en,2015-06-09,857611174,94.0,Inside Out,Richard Kind,Amy Poehler,Pete Docter,Pete Docter,,Michael Giacchino
78,175000000,"['Family', 'Adventure', 'Drama', 'Fantasy']",278927,based on novel.snake.wolf.elephant.tiger.feral child.panther.remake.bear.jungle.talking animal.orphan.animal.talking to animals,en,2016-04-07,966550600,106.0,The Jungle Book,Neel Sethi,Scarlett Johansson,Jon Favreau,Justin Marks,,
79,200000000,"['Adventure', 'Action', 'Science Fiction']",10138,malibu.marvel comic.superhero.based on comic book.revenge.aftercreditsstinger.marvel cinematic universe,en,2010-04-28,623933331,124.0,Iron Man 2,Robert Downey Jr.,Gwyneth Paltrow,Jon Favreau,Justin Theroux,,
80,170000000,"['Adventure', 'Fantasy', 'Drama']",58595,queen.magic.fairy tale.immortality.forest.deception.woman.eternal youth.snow white.evil queen.evil stepmother.imprisoned.sorceress,en,2012-05-30,396600000,127.0,Snow White and the Huntsman,Chris Hemsworth,Kristen Stewart,Rupert Sanders,John Lee Hancock,,James Newton Howard
81,180000000,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",102651,fairy tale.villain.sleeping beauty.dark fantasy.based on fairy tale.adaptation.retelling.literary adaptation.3d,en,2014-05-28,758539785,97.0,Maleficent,Sharlto Copley,Angelina Jolie,Robert Stromberg,Linda Woolverton,,James Newton Howard
82,170000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",119450,leader.colony.post-apocalyptic.dystopia.forest.sequel.woods.ape.scientist.monkey.medical research.animal attack.plague.3d,en,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes,Andy Serkis,Keri Russell,Matt Reeves,,Mark Bomback,Michael Giacchino
83,27000000,"['Action', 'Adventure', 'Science Fiction', 'Romance']",79698,,en,2015-02-13,0,109.0,The Lovers,Josh Hartnett,Simone Kessell,Roland Joffé,,Roland Joffé,
84,175000000,"['Drama', 'Action', 'Adventure', 'Fantasy']",64686,japan.suicide.samurai.based on true story.samurai sword.ronin.shogun.half breed.3d,en,2013-12-06,150962475,119.0,47 Ronin,Keanu Reeves,Kou Shibasaki,Carl Rinsch,Chris Morgan,,
85,170000000,"['Action', 'Adventure', 'Science Fiction']",100402,washington d.c..future.shield.marvel comic.superhero.based on comic book.captain america.aftercreditsstinger.duringcreditsstinger.marvel cinematic universe.3d.political thriller,en,2014-03-20,714766572,136.0,Captain America: The Winter Soldier,Chris Evans,Scarlett Johansson,Anthony Russo,Christopher Markus,,Henry Jackman
86,165000000,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",10192,ogre.3d,en,2010-05-16,752600867,93.0,Shrek Forever After,Mike Myers,Cameron Diaz,Mike Mitchell,,William Steig,
87,190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",158852,inventor.apocalypse.destiny.imax.dreamer.futuristic car.futuristic city,en,2015-05-19,209154322,130.0,Tomorrowland,George Clooney,Britt Robertson,Brad Bird,Brad Bird,,Michael Giacchino
88,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,brother brother relationship.hero.talent.revenge.best friend.another dimension.robot.boy genius.hate.aftercreditsstinger.moral dilemma.3d.teen superheroes.dead brother,en,2014-10-24,652105443,102.0,Big Hero 6,Scott Adsit,Jamie Chung,Chris Williams,Daniel Gerson,,Henry Jackman
89,165000000,"['Family', 'Animation', 'Comedy', 'Adventure']",82690,support group.product placement.bullying.racing.arcade.medal.self esteem.curiosity.precocious child.aftercreditsstinger.duringcreditsstinger.first person shooter.glitch.carefree.video gamer.q*bert.interrupted wedding.social reject,en,2012-11-01,471222889,108.0,Wreck-It Ralph,John C. Reilly,Sarah Silverman,Rich Moore,Phil Johnston,,Henry Jackman
90,165000000,"['Adventure', 'Animation', 'Family', 'Fantasy']",5255,santa claus.nerd.faith.gift.bell.beard.north pole.chute.trestle.ticket.christmas,en,2004-11-10,305875730,100.0,The Polar Express,Tom Hanks,Nona Gaye,Robert Zemeckis,Robert Zemeckis,,Alan Silvestri
91,165000000,"['Action', 'Adventure', 'Science Fiction']",47933,alternate history.alien invasion,en,2016-06-22,389681935,120.0,Independence Day: Resurgence,Liam Hemsworth,Maika Monroe,Roland Emmerich,Roland Emmerich,,Harald Kloser
